date,SA,IA,RA,SC,IC,RC
2024-01-01,3499950.0,50.0,0.0,1499900.0,100.0,0.0
2024-01-02,3499949.701746435,45.52550257701868,4.772750988106306,1499899.5527753506,90.90904041297433,9.538184236771402
2024-01-03,3499949.2495481702,41.623159179520535,9.127292649812867,1499898.8752529602,82.90212119215289,18.222625848184503
2024-01-04,3499948.8367098304,38.05477652031733,13.10851364900581,1499898.257316772,75.60056699111531,26.14211623763512
2024-01-05,3499948.459783958,34.79180831657242,16.748407725378488,1499897.6936911475,68.94217585351754,33.36413299955256
2024-01-06,3499948.1156479823,31.808161211893694,20.076190805238493,1499897.1796023073,62.87028506871862,39.95011262458944
2024-01-07,3499947.8014517264,29.079974266226994,23.118574007284927,1499896.710697697,57.33324210033621,45.95606020314836
2024-01-08,3499947.514592363,26.58541936450351,25.899988272089665,1499896.2830068215,52.283940798372626,51.43305238061541
2024-01-09,3499947.2526920536,24.304520468872404,28.44278747683183,1499895.8929062726,47.67940275606535,56.42769097199681
2024-01-10,3499947.0135804727,22.21901228644999,30.76740723992477,1499895.537092447,43.480451187728534,60.98245636594767
2024-01-11,3499946.795275332,20.312183180207885,32.89254148714706,1499895.2125511705,39.65134944877949,65.13609938125363
2024-01-12,3499946.595966747,18.568748748353162,34.835284504037226,1499894.9165333598,36.159511560939954,68.9239550798364
2024-01-13,3499946.414002328,16.974730742958577,36.611266927963555,1499894.646531825,32.975225711127266,72.37824246464432
2024-01-14,3499946.2478734558,15.517345353706517,38.234781190142506,1499894.400259938,30.071399916032032,75.52834014653827
2024-01-15,3499946.096202913,14.184902466909783,39.718894619598,1499894.1756324496,27.423333628576568,78.40103392275587
2024-01-16,3499945.9577328367,12.96670736625993,41.075559796385434,1499893.9707467845,25.008495028510403,81.02075818775889
2024-01-17,3499945.831314719,11.85297894676448,42.31570633405813,1499893.783867579,22.806337181808512,83.40979524007949
2024-01-18,3499945.715899968,10.834772321375695,43.44932771028124,1499893.6134120831,20.79812432739453,85.58846359028705
2024-01-19,3499945.610531275,9.90390788466608,44.48556083975577,1499893.4579368208,18.966773155055847,87.57529002496743
