date,S_0-18,S_19-65+,E_0-18,E_19-65+,I_0-18,I_19-65+,R_0-18,R_19-65+,total_I,total_R,total_E,total_S,daily_incidence,prevalence
2024-01-01,1985.0,7960.0,0.0,0.0,2.0,2.0,13.0,38.0,4.0,51.0,0.0,9945.0,0.0,0.0004
2024-01-02,1984.2757876071894,7959.258690301286,0.45422050575605694,0.46500887998312157,1.8046011198394865,1.8103759890139075,13.465390767214961,38.46592482971666,3.614977108853394,51.931315596931626,0.9192293857391785,9943.534477908475,1.4655220915241998,0.0003614977108853394
2024-01-03,1983.5609180571373,7958.525274172921,0.6208819970441911,0.6367225239342078,1.8934814709299725,1.9100104745204556,13.924718474888708,38.927992828623374,3.8034919454504283,52.85271130351208,1.2576045209783988,9942.086192230057,1.4482856784167097,0.0003803491945450428
2024-01-04,1982.791212016527,7957.733588636271,0.7185731864798078,0.7384975264435242,2.0710238390261297,2.099805610346333,14.419190957967123,39.428108226938676,4.170829449372462,53.8472991849058,1.457070712923332,9940.524800652798,1.561391577260686,0.0004170829449372462
2024-01-05,1981.9439306799118,7956.86011276521,0.8043278835316279,0.8284491436809311,2.288286542775392,2.330242469744914,14.963454893781229,39.981195621363334,4.618529012520305,54.94465051514456,1.632777027212559,9938.804043445121,1.720757207675831,0.00046185290125203053
2024-01-06,1981.0063943083685,7955.891627511115,0.8934998226603375,0.9221973010312399,2.5343908350931383,2.590484867341156,15.565715033877973,40.595690320511466,5.124875702434294,56.16140535438944,1.8156971236915773,9936.898021819483,1.9060216256378837,0.0005124875702434295
2024-01-07,1979.9678171970318,7954.816807670267,0.9907310733623412,1.0244878374122062,2.80847608405009,2.879846351002372,16.23297564555552,41.2788581413177,5.688322435052463,57.51183378687322,2.0152189107745473,9934.784624867298,2.113396952184921,0.0005688322435052463
2024-01-08,1978.8171302191533,7953.623976658319,1.097962616962355,1.137344713918952,3.1124644421227914,3.2004629109901064,16.972442721761254,42.03821571677034,6.312927353112897,59.01065843853159,2.235307330881307,9932.441106877473,2.343517989825571,0.0006312927353112897
2024-01-09,1977.542346715288,7952.300445564068,1.2165054220841154,1.262170448914167,3.4492112796715886,3.555432890400927,17.79193658295615,42.88195109661632,7.004644170072515,60.67388767957247,2.4786758709982823,9929.842792279356,2.5983145981174687,0.0007004644170072515
2024-01-10,1976.130319832518,7950.832251340295,1.3475836509262429,1.4002962013479092,3.822042333963591,3.9483585690296903,18.700054182591998,43.819093889326204,7.7704009029932815,62.5191480719182,2.747879852274152,9926.962571172813,2.880221106542365,0.0007770400902993281
