date,S_0-18,S_19-65+,E_0-18,E_19-65+,I_0-18,I_19-65+,R_0-18,R_19-65+,total_I,total_R,total_E,total_S,daily_incidence,prevalence
2024-01-01,1800.0,7200.0,0.0,0.0,10.0,0.0,190.0,800.0,10.0,990.0,0.0,9000.0,0.0,0.001
2024-01-02,1792.2170681912557,7195.383848464163,4.850753384915764,2.9163003980068023,8.150194557621141,1.4024733314221711,194.78198386620775,800.2973778064079,9.552667889043313,995.0793616726156,7.7670537829225665,8987.600916655418,12.399083344581527,0.0009552667889043314
2024-01-03,1784.2668306687233,7189.710938835668,6.875555929462421,4.7549826097971915,9.292634026370228,3.810929760010285,199.5649793754445,801.7231487945241,13.103563786380514,1001.2881281699687,11.630538539259613,8973.97776950439,13.623147151027183,0.0013103563786380514
2024-01-04,1774.6157174575144,7181.829415328606,8.738492341537828,6.8633626273712975,11.37278318187894,6.690491695245216,205.2730070190694,804.616730348776,18.063274877124158,1009.8897373678453,15.601854968909127,8956.44513278612,17.53263671826994,0.0018063274877124157
2024-01-05,1762.5753311660897,7171.097342660085,10.965875564143444,9.473945459695386,14.132919067999678,10.162224722005774,212.32587420176773,809.2664871582132,24.295143790005454,1021.5923613599809,20.43982102383883,8933.672673826175,22.77245895994656,0.0024295143790005456
2024-01-06,1747.5142819419978,7156.820209958124,13.729146188090699,12.714823117823995,17.641982056768125,14.412781945126877,221.11458981314377,816.0521849789244,32.054764001895,1037.1667747920683,26.443969305914692,8904.334491900121,29.338181926052812,0.0032054764001895
2024-01-07,1728.721646723884,7138.154877841717,17.14399288934551,16.729189931955478,22.041514001397193,19.652293243476986,232.09284638537355,825.4636389828491,41.69380724487418,1057.5564853682226,33.873182821300986,8866.876524565601,37.45796733451971,0.004169380724487418
2024-01-08,1705.388176696182,7114.081240689101,21.315037815006797,21.68258182248436,27.496250124918305,26.120734665087046,245.8005353638933,838.1154428233272,53.61698479000535,1083.9159781872204,42.997619637491155,8819.469417385282,47.407107180319144,0.005361698479000534
2024-01-09,1676.6219108752214,7083.389302912024,26.33148545218139,27.75623248158161,34.17551157956133,34.090019037393716,262.8710920930361,854.764445569001,68.26553061695505,1117.6355376620372,54.087717933763,8760.011213787246,59.45820359803838,0.006826553061695505
2024-01-10,1641.490350550516,7044.680867946959,32.24887845728994,35.13520191031071,42.232114620957084,43.85772275394245,284.02865637123716,876.3262073887873,86.08983737489953,1160.3548637600245,67.38408036760066,8686.171218497475,73.83999528976938,0.008608983737489953
2024-01-11,1599.0954279956575,6996.3951825775475,39.06094786366398,43.98813881605997,51.77261920496902,55.73133817265193,310.07100493570965,903.8853404337399,107.50395737762095,1213.9563453694495,83.04908667972396,8595.490610573204,90.68060792426968,0.010750395737762096
2024-01-12,1548.6853398718165,6936.869224409752,46.66613312126306,54.43746398049271,62.81565817078161,69.99957830652522,341.83286883613897,938.6937333032295,132.81523647730683,1280.5266021393684,101.10359710175577,8485.554564281569,109.93604629163656,0.013281523647730683
2024-01-13,1489.8014490007279,6864.444170013439,54.833482836888294,66.51870970224583,75.24163508230409,86.88843639453685,380.1234330800801,982.148683889778,162.13007147684095,1362.272116969858,121.35219253913412,8354.245619014167,131.30894526740212,0.016213007147684096
2024-01-14,1422.4442358852477,6777.624488523529,63.17913887585676,80.13204549217522,88.74161199491913,106.50136483167081,425.6350132439766,1035.7421011526249,195.24297682658994,1461.3771143966014,143.31118436803197,8200.068724408777,154.17689460539032,0.019524297682658995
2024-01-15,1347.2246140406537,6675.285370246603,71.1693305181021,94.99460244435468,102.77969666426613,128.74723570714465,478.8263587769782,1100.9727916018976,231.5269323714108,1579.7991503788758,166.16393296245678,8022.509984287257,177.55874012152003,0.02315269323714108
2024-01-16,1265.4525771804072,6556.907722062199,78.16380090265727,110.60713717727837,116.58997946635756,153.26737042069752,539.7936424505781,1179.2177703398254,269.8573498870551,1719.0114127904035,188.77093807993566,7822.360299242607,200.14968504465082,0.026985734988705507
2024-01-17,1179.1135596647466,6422.799835430063,83.50495831579774,126.2527867347937,129.22748123675476,179.38042112827614,608.1540007827009,1271.5669567068676,308.6079023650309,1879.7209574895685,209.75774505059144,7601.913395094809,220.4469041477969,0.03086079023650309
2024-01-18,1090.705092545973,6274.250292173109,86.6393796184961,141.04312085548213,139.68089207780613,206.06889025862586,682.9746357577249,1378.6376967127835,345.74978233643196,2061.6123324705086,227.68250047397822,7364.955384719082,236.958010375728,0.034574978233643194
